call_id,caller_phone,receiver_phone,started_at,duration_seconds,tower_location
CALL-RG-B01,+910000000401,+910000000402,2026-08-15T11:00:00+05:30,52,Rivergate depot
CALL-RG-B02,+910000000401,+910000000402,2026-08-15T16:00:00+05:30,48,Rivergate depot
CALL-RG-B03,+910000000401,+910000000402,2026-08-16T11:00:00+05:30,55,Rivergate depot
CALL-RG-B04,+910000000401,+910000000402,2026-08-16T16:00:00+05:30,44,Rivergate depot
CALL-RG-B05,+910000000401,+910000000402,2026-08-17T11:00:00+05:30,58,Rivergate depot
CALL-RG-B06,+910000000401,+910000000402,2026-08-17T16:00:00+05:30,46,Rivergate depot
CALL-RG-001,+910000000401,+910000000402,2026-08-18T17:42:00+05:30,64,Rivergate depot
CALL-RG-002,+910000000401,+910000000403,2026-08-18T17:48:00+05:30,41,Rivergate depot
CALL-RG-003,+910000000402,+910000000404,2026-08-18T18:01:00+05:30,128,East market
CALL-RG-004,+910000000401,+910000000405,2026-08-18T18:09:00+05:30,33,Rivergate depot
CALL-RG-005,+910000000403,+910000000402,2026-08-18T18:16:00+05:30,77,East market
CALL-RG-006,+910000000401,+910000000406,2026-08-18T18:24:00+05:30,54,Rivergate depot
